ang_left_s0 ang_left_s1 ang_left_e0 ang_left_e1 ang_left_w0 ang_left_w1 ang_left_w2 vel_left_s0 vel_left_s1 vel_left_e0 vel_left_e1 vel_left_w0 vel_left_w1 vel_left_w2 torq_left_s0 torq_left_s1 torq_left_e0 torq_left_e1 torq_left_w0 torq_left_w1 torq_left_w2
-0.5288398766234964 -1.0335195558377974 -0.01227184630308331 1.5021506865367915 0.05062136600021865 1.1834661778535966 -0.01112136071216925 -0.8278096640656281 0.9405143004920204 -0.07814711724338709 -1.545270886194614 0.22540927285278486 0.18339047111890336 -1.3669855031368365 -8.412 -21.812 -6.276 -6.664 -0.28 1.272 -0.26
-0.5372767709568662 -1.0254661567013992 -0.012655341500054663 1.4894953450367368 0.052155346788104066 1.1846166634445108 -0.02147573103039579 -0.8144578952903759 0.90477868406414 -0.09228428418188928 -1.4196071800745946 0.25682519938278975 0.14137166938502185 -1.2012664906910608 -8.04 -22.352 -6.108 -6.844 -0.444 1.224 -0.26
-0.5464806556841787 -1.0147282911862012 -0.014956312681882784 1.4764565083397108 0.054072822772960834 1.1834661778535966 -0.030679615757708275 -0.8682576694730093 0.8572620951875076 -0.1319468914260204 -1.306509844566577 0.18574666560865372 0.05537057050913356 -1.0524335387551629 -7.696 -22.828 -5.604 -7.548 -0.392 1.188 -0.26
-0.5553010452145197 -1.0082088728376881 -0.016106798272796843 1.4634176716426848 0.05368932757598948 1.1834661778535966 -0.039883500485020755 -0.8698284657995096 0.892605012533763 -0.14254976662989705 -1.2118693658949375 0.11977321989564353 -0.029059732040254495 -0.911454568451766 -7.292 -23.492 -5.436 -8.312 -0.144 1.168 -0.24
-0.5641214347448609 -1.000538968898261 -0.018791264651596317 1.4542137869153722 0.054072822772960834 1.183849673050568 -0.04793689962141918 -0.9004589941662643 0.8254534695758776 -0.15668693356839924 -1.1270463642639243 0.034164820101380285 -0.03730641275438077 -0.8262388677391278 -6.888 -24.032 -5.168 -8.956 -0.06 1.04 -0.26
-0.5737088146691447 -0.99171857936792 -0.020708740636453084 1.443092426203203 0.055223308363874894 1.1830826826566254 -0.054072822772960834 -0.8937831097786383 0.801891524678374 -0.19988383254715592 -1.0371182745717855 0.018064157754752792 -0.012566370612001944 -0.7649778110056183 -6.42 -24.476 -4.632 -9.384 -0.1 0.848 -0.28
-0.5844466801843426 -0.9832816850345502 -0.021859226227367145 1.4331215510819477 0.05445631796993219 1.1819321970657113 -0.06289321230330196 -0.9197012491658922 0.7971791356988733 -0.15865042897652454 -0.9931359774297787 0.031415926530004856 -0.04476769530525693 -0.7080364441699845 -5.952 -25.048 -4.128 -9.504 -0.044 0.78 -0.252
-0.5932670697146838 -0.9763787714890658 -0.023776702212223912 1.4250681519455495 0.05483981316690354 1.1796312258838832 -0.06864564025787226 -0.9365873096757699 0.7539822367201167 -0.17749998489452745 -0.911454568451766 0.003141592653000486 -0.1472621556093978 -0.6585563598852269 -5.576 -25.62 -4.028 -9.688 -0.052 0.916 -0.26
-0.6036214400329103 -0.9687088675496388 -0.026077673394052033 1.4173982480061222 0.05483981316690354 1.1765632643081123 -0.07478156340941391 -0.9844965976340273 0.7292421945777378 -0.21048670775103256 -0.821526478759627 -0.027096236632129192 -0.2627156856071656 -0.6620906516198524 -5.14 -26.096 -4.196 -9.748 -0.016 1.128 -0.268
-0.6132088199571941 -0.9625729443980972 -0.0279951493789088 1.410495334460638 0.05483981316690354 1.1738787979293128 -0.08245146734884098 -0.9680032362057747 0.6750497213134794 -0.20852321234290724 -0.711178036822985 -0.003141592653000486 -0.2874557277495445 -0.6550220681506013 -4.672 -26.416 -3.724 -10.024 -0.072 1.148 -0.252
-0.6250971710633061 -0.9568205164435268 -0.029529130166794215 1.402825430521211 0.05483981316690354 1.172728312338399 -0.0897378760912967 -0.9994191627357796 0.6071127801923439 -0.19674223989415543 -0.6683738369258534 0.011780972448751823 -0.2171625921386586 -0.6424556975385993 -4.332 -26.636 -3.492 -10.148 -0.06 0.964 -0.224
-0.6354515413815326 -0.9518350788828992 -0.03298058693953639 1.3970730025666405 0.054072822772960834 1.1692768555656565 -0.09664078963678106 -1.041045265388036 0.5537057050913357 -0.1881028600984041 -0.6338163177428481 -0.009424777959001457 -0.18456856836377855 -0.6942919763131074 -4.052 -26.952 -3.692 -10.176 0.0 0.792 -0.288
