ang_left_s0 ang_left_s1 ang_left_e0 ang_left_e1 ang_left_w0 ang_left_w1 ang_left_w2 vel_left_s0 vel_left_s1 vel_left_e0 vel_left_e1 vel_left_w0 vel_left_w1 vel_left_w2 torq_left_s0 torq_left_s1 torq_left_e0 torq_left_e1 torq_left_w0 torq_left_w1 torq_left_w2
-0.9387962421858732 -0.33670878294084833 -0.04256796686382023 1.3391652278239663 0.04141748127290617 0.5000777368506448 -0.23584954613738238 -0.7850054641684964 -0.06911503836601068 0.027488935713754253 0.5309291583570821 -0.14765485469102282 -0.8191702842698767 -0.39034288713531035 1.244 -14.128 -0.568 -5.164 -0.016 0.588 -0.232
-0.9460826509283289 -0.337475773334791 -0.04256796686382023 1.3441506653845938 0.039883500485020755 0.49279132810818915 -0.24045148850103862 -0.7154977267208606 -0.09149888601863915 0.024347343060753767 0.5631304830503371 -0.19320794815952988 -0.7806857742706207 -0.36089045601343084 1.9 -14.316 -0.568 -5.072 0.052 0.576 -0.212
-0.952602069276842 -0.3390097541226764 -0.04256796686382023 1.3506700837331067 0.03796602450016399 0.48473792897179074 -0.24236896448589537 -0.7410231670264896 -0.09385508050838952 0.010995574285501701 0.5666647747849627 -0.18535396652702868 -0.7618362183526178 -0.3663882431561817 1.96 -14.316 -0.5 -5.072 0.008 0.548 -0.212
-0.9595049828223263 -0.3401602397135905 -0.04295146206079158 1.3564225116876771 0.03604854851530722 0.4759175394414496 -0.24658741165258025 -0.6954700735579825 -0.09856746948789025 -0.011388273367126762 0.6173229563145954 -0.2089159114245323 -0.8156359925352511 -0.3510729789728043 2.336 -14.128 -0.568 -5.224 0.016 0.548 -0.224
-0.9675583819587247 -0.34131072530450457 -0.043334957257762936 1.3640924156271041 0.033364082136507746 0.4686311306989939 -0.24927187803137973 -0.6880087910071064 -0.1189878217323934 -0.031415926530004856 0.6554147672322264 -0.20852321234290724 -0.8168140897801264 -0.31180307081029823 2.116 -14.096 -0.5 -5.132 0.06 0.492 -0.212
-0.9717768291254096 -0.34131072530450457 -0.04371845245473429 1.3706118339756173 0.03183010134862233 0.4601942363656241 -0.2515728492132078 -0.691935781823357 -0.11623892816101798 -0.03220132469325498 0.6793694112113551 -0.19752763805740556 -0.8066039136578748 -0.2670353755050413 2.116 -14.412 -0.468 -5.196 0.088 0.472 -0.224
-0.9802137234587793 -0.34284470609239 -0.04486893804564835 1.3782817379150443 0.03029612056073692 0.45099035163831164 -0.2542573155920073 -0.6884014900887315 -0.11663162724264303 -0.0620464548967596 0.7041094533537339 -0.17632188764965226 -0.8238826732493775 -0.2799944451986683 1.804 -14.508 -0.164 -5.196 -0.024 0.444 -0.212
-0.9855826562163783 -0.3451456772742181 -0.045252433242619704 1.3851846514605286 0.027228158984966094 0.4425534573049419 -0.25732527716777814 -0.6483461837629753 -0.1311614932627703 -0.054192473264258384 0.7253152037614872 -0.21087940683265763 -0.8509789098815066 -0.28470683417816905 1.744 -14.032 0.636 -5.224 0.036 0.452 -0.232
-0.9921020745648913 -0.3451456772742181 -0.04486893804564835 1.3936215457938983 0.023776702212223912 0.4345000581685434 -0.26000974354657763 -0.6228207434573463 -0.1189878217323934 -0.012566370612001944 0.7516260422303662 -0.3059125845859223 -0.865901474983259 -0.2788163479537931 1.588 -13.968 1.108 -4.98 0.172 0.444 -0.224
-1.0001554737012897 -0.34783014365301756 -0.04410194765170564 1.4012914497333255 0.02032524543948173 0.4241456878503169 -0.2623107147284057 -0.6668030405993531 -0.14569135928289753 -0.003926990816250607 0.7920740476377475 -0.3671736413194318 -0.8839656327380118 -0.23287055540366103 1.776 -14.412 1.24 -4.796 0.172 0.492 -0.224
